#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  0.89799  0.007980  0.004365  0.000824     1.828
   0.00632  0.99381  0.00254  0.90739  0.007489  0.004192  0.000913     1.786
   0.01731  0.98304  0.00473  0.92457  0.006713  0.003901  0.001079     1.721
   0.03011  0.97049  0.00724  0.94328  0.006012  0.003615  0.001261     1.663
   0.04441  0.95646  0.01001  0.96256  0.005408  0.003348  0.001449     1.615
   0.05976  0.94138  0.01291  0.98133  0.004907  0.003111  0.001633     1.577
   0.07573  0.92569  0.01588  0.99893  0.004498  0.002907  0.001805     1.547
   0.09203  0.90967  0.01884  1.01525  0.004161  0.002730  0.001965     1.524
   0.10849  0.89346  0.02176  1.03019  0.003882  0.002578  0.002111     1.506
   0.12504  0.87717  0.02463  1.04411  0.003643  0.002443  0.002248     1.491
   0.14163  0.86082  0.02745  1.05699  0.003438  0.002324  0.002374     1.479
   0.15824  0.84444  0.03020  1.06903  0.003258  0.002217  0.002491     1.470
   0.17486  0.82804  0.03289  1.08050  0.003096  0.002118  0.002604     1.461
   0.19149  0.81162  0.03552  1.09139  0.002950  0.002028  0.002711     1.455
   0.20812  0.79519  0.03809  1.10170  0.002817  0.001944  0.002812     1.449
   0.22474  0.77875  0.04059  1.11174  0.002694  0.001865  0.002912     1.444
   0.24137  0.76230  0.04302  1.12139  0.002579  0.001791  0.003008     1.440
   0.25800  0.74585  0.04539  1.13076  0.002472  0.001721  0.003101     1.437
   0.27462  0.72938  0.04769  1.13993  0.002371  0.001654  0.003194     1.434
   0.29124  0.71292  0.04993  1.14889  0.002275  0.001590  0.003285     1.431
   0.30785  0.69645  0.05210  1.15773  0.002183  0.001528  0.003375     1.429
   0.32446  0.67998  0.05420  1.16631  0.002097  0.001469  0.003464     1.427
   0.34105  0.66350  0.05624  1.17502  0.002011  0.001411  0.003555     1.426
   0.35764  0.64703  0.05820  1.18343  0.001931  0.001356  0.003644     1.424
   0.37422  0.63056  0.06009  1.19194  0.001853  0.001301  0.003735     1.423
   0.39079  0.61410  0.06191  1.20035  0.001777  0.001249  0.003827     1.423
   0.40734  0.59764  0.06366  1.20878  0.001703  0.001197  0.003919     1.422
   0.42388  0.58118  0.06533  1.21720  0.001631  0.001147  0.004013     1.422
   0.44040  0.56474  0.06692  1.22565  0.001562  0.001098  0.004109     1.422
   0.45690  0.54830  0.06843  1.23412  0.001494  0.001050  0.004206     1.422
   0.47339  0.53188  0.06985  1.24279  0.001426  0.001003  0.004308     1.422
   0.48985  0.51547  0.07120  1.25137  0.001361  0.000957  0.004410     1.423
   0.50630  0.49907  0.07245  1.26018  0.001297  0.000911  0.004517     1.424
   0.52271  0.48270  0.07362  1.26909  0.001234  0.000866  0.004627     1.425
   0.53910  0.46635  0.07469  1.27818  0.001172  0.000822  0.004742     1.426
   0.55545  0.45002  0.07567  1.28751  0.001110  0.000778  0.004864     1.427
   0.57177  0.43373  0.07654  1.29708  0.001049  0.000735  0.004994     1.428
   0.58802  0.41749  0.07732  1.30720  0.000988  0.000691  0.005140     1.429
   0.60420  0.40134  0.07798  1.31830  0.000925  0.000648  0.005315     1.428
   0.62025  0.38529  0.07852  1.32984  0.000862  0.000604  0.005515     1.427
   0.63621  0.36934  0.07891  1.33994  0.000805  0.000564  0.005695     1.427
   0.65210  0.35345  0.07914  1.34970  0.000749  0.000525  0.005881     1.427
   0.66793  0.33762  0.07922  1.35912  0.000695  0.000487  0.006076     1.428
   0.68371  0.32184  0.07915  1.36829  0.000643  0.000450  0.006283     1.428
   0.69943  0.30612  0.07891  1.37728  0.000591  0.000414  0.006511     1.428
   0.71510  0.29046  0.07850  1.38611  0.000539  0.000378  0.006767     1.427
   0.73070  0.27487  0.07791  1.39467  0.000488  0.000342  0.007056     1.426
   0.74623  0.25935  0.07715  1.40294  0.000438  0.000307  0.007382     1.425
   0.76169  0.24392  0.07620  1.41084  0.000388  0.000272  0.007712     1.427
   0.77706  0.22859  0.07506  1.41807  0.000344  0.000238  0.007859     1.446
   0.79234  0.21338  0.07373  1.42486  0.000316  0.000206  0.007112     1.538
   0.80750  0.19829  0.07219  1.43386  0.000334  0.000180  0.004426     1.855
   0.82254  0.18335  0.07044  1.45715  0.000444  0.000160  0.000953     2.779
   0.83743  0.16859  0.06848  1.46306  0.000438  0.000154  0.000861     2.852
   0.85213  0.15405  0.06629  1.47099  0.000419  0.000147  0.000895     2.860
   0.86661  0.13978  0.06389  1.48013  0.000397  0.000139  0.000963     2.851
   0.88079  0.12584  0.06127  1.48988  0.000374  0.000132  0.001042     2.841
   0.89460  0.11233  0.05844  1.50025  0.000351  0.000124  0.001134     2.831
   0.90791  0.09937  0.05542  1.51129  0.000328  0.000116  0.001248     2.817
   0.92057  0.08711  0.05226  1.52257  0.000306  0.000109  0.001351     2.814
   0.93242  0.07571  0.04901  1.53476  0.000283  0.000101  0.001493     2.803
   0.94332  0.06532  0.04573  1.54726  0.000262  0.000094  0.001653     2.793
   0.95315  0.05602  0.04251  1.55994  0.000241  0.000087  0.001829     2.784
   0.96191  0.04785  0.03938  1.57286  0.000221  0.000080  0.002051     2.769
   0.96962  0.04073  0.03640  1.58550  0.000203  0.000074  0.002301     2.753
   0.97639  0.03458  0.03357  1.59787  0.000185  0.000068  0.002608     2.732
   0.98235  0.02925  0.03090  1.60950  0.000169  0.000062  0.002951     2.712
   0.98761  0.02465  0.02837  1.62047  0.000154  0.000057  0.003373     2.686
   0.99228  0.02064  0.02596  1.63028  0.000140  0.000053  0.003874     2.657
   0.99646  0.01715  0.02365  1.63847  0.000126  0.000048  0.004476     2.624
   1.00023  0.01410  0.02143  1.64420  0.000114  0.000044  0.005115     2.597
   1.00366  0.01144  0.01929  1.64773  0.000102  0.000040  0.006011     2.554
   1.00679  0.00910  0.01719  1.64604  0.000092  0.000037  0.006843     2.528
   1.00968  0.00708  0.01514  1.64014  0.000082  0.000033  0.008071     2.480
   1.01235  0.00532  0.01312  1.62500  0.000074  0.000030  0.009135     2.454
   1.01485  0.00383  0.01112  1.60118  0.000066  0.000027  0.010678     2.405
   1.01719  0.00259  0.00913  1.56150  0.000059  0.000025  0.011915     2.375
   1.01940  0.00160  0.00716  1.50587  0.000053  0.000023  0.013279     2.337
   1.02149  0.00085  0.00521  1.42844  0.000048  0.000021  0.014286     2.303
   1.02348  0.00034  0.00329  1.32987  0.000045  0.000020  0.014529     2.286
   1.02538  0.00006  0.00140  1.21098  0.000042  0.000019  0.014701     2.248
   1.02721  0.00001 -0.00042  1.07525  0.000041  0.000018  0.013232     2.257
   1.02906  0.00017 -0.00227  0.92583  0.000039  0.000018  0.012251     2.224
   1.03098  0.00057 -0.00415  0.75631  0.000040  0.000018  0.009820     2.235
   1.03298  0.00123 -0.00604  0.57944  0.000040  0.000018  0.007690     2.206
   1.03507  0.00216 -0.00791  0.40289  0.000042  0.000019  0.004911     2.234
   1.03727  0.00337 -0.00974  0.23602  0.000044  0.000020  0.002848     2.207
   1.03959  0.00484 -0.01154  0.08485  0.000050  0.000023  0.000870     2.230
   1.04205  0.00657 -0.01328 -0.04743  0.000050  0.000023  0.000486     2.230
   1.04469  0.00858 -0.01499 -0.16542  0.000058  0.000026  0.001452     2.250
   1.04752  0.01087 -0.01666 -0.26544  0.000063  0.000028  0.002150     2.243
   1.05059  0.01347 -0.01829 -0.35259  0.000070  0.000031  0.002530     2.267
   1.05394  0.01640 -0.01991 -0.42879  0.000076  0.000033  0.002822     2.267
   1.05762  0.01971 -0.02152 -0.49535  0.000084  0.000037  0.002898     2.287
   1.06169  0.02346 -0.02312 -0.55344  0.000092  0.000040  0.002929     2.295
   1.06625  0.02772 -0.02473 -0.60525  0.000101  0.000044  0.002889     2.306
   1.07138  0.03259 -0.02635 -0.65182  0.000110  0.000048  0.002815     2.316
   1.07721  0.03819 -0.02799 -0.69291  0.000122  0.000052  0.002671     2.333
