#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.08388  0.04464 -0.02964 -0.72995  0.000133  0.000057  0.002546     2.341
   1.09152  0.05210 -0.03130 -0.76304  0.000147  0.000062  0.002383     2.355
   1.10027  0.06070 -0.03295 -0.79256  0.000161  0.000068  0.002228     2.366
   1.11023  0.07053 -0.03455 -0.81831  0.000178  0.000075  0.002059     2.380
   1.12140  0.08159 -0.03607 -0.84073  0.000195  0.000082  0.001910     2.391
   1.13370  0.09381 -0.03747 -0.85969  0.000213  0.000089  0.001760     2.404
   1.14696  0.10702 -0.03870 -0.87542  0.000233  0.000096  0.001623     2.417
   1.16100  0.12102 -0.03975 -0.88824  0.000253  0.000104  0.001499     2.430
   1.17563  0.13563 -0.04061 -0.89885  0.000272  0.000112  0.001395     2.439
   1.19072  0.15070 -0.04129 -0.90730  0.000292  0.000119  0.001294     2.451
   1.20615  0.16612 -0.04180 -0.91413  0.000312  0.000127  0.001209     2.461
   1.22184  0.18181 -0.04215 -0.91964  0.000331  0.000134  0.001133     2.471
   1.23775  0.19771 -0.04236 -0.92410  0.000351  0.000141  0.001065     2.480
   1.25383  0.21379 -0.04244 -0.92761  0.000370  0.000149  0.001003     2.490
   1.27005  0.23002 -0.04240 -0.93051  0.000389  0.000156  0.000950     2.497
   1.28640  0.24636 -0.04227 -0.93275  0.000408  0.000163  0.000900     2.506
   1.30286  0.26282 -0.04204 -0.93467  0.000425  0.000169  0.000859     2.511
   1.31941  0.27936 -0.04174 -0.93603  0.000444  0.000176  0.000816     2.521
   1.33604  0.29599 -0.04137 -0.93738  0.000461  0.000183  0.000786     2.523
   1.35275  0.31270 -0.04093 -0.93837  0.000478  0.000189  0.000753     2.529
   1.36952  0.32946 -0.04045 -0.93940  0.000494  0.000195  0.000730     2.529
   1.38635  0.34629 -0.03992 -0.94018  0.000510  0.000201  0.000704     2.533
   1.40323  0.36315 -0.03936 -0.94115  0.000524  0.000207  0.000688     2.531
   1.42013  0.38005 -0.03876 -0.94229  0.000536  0.000212  0.000677     2.525
   1.43704  0.39694 -0.03814 -0.94398  0.000545  0.000217  0.000678     2.511
   1.45389  0.41378 -0.03750 -0.94600  0.000552  0.000221  0.000681     2.496
   1.47071  0.43058 -0.03681 -0.94714  0.000566  0.000226  0.000660     2.502
   1.48754  0.44740 -0.03606 -0.94783  0.000582  0.000232  0.000635     2.514
   1.50439  0.46423 -0.03528 -0.94817  0.000599  0.000237  0.000609     2.527
   1.52126  0.48108 -0.03446 -0.94841  0.000615  0.000242  0.000587     2.536
   1.53816  0.49795 -0.03360 -0.94838  0.000632  0.000248  0.000564     2.548
   1.55508  0.51485 -0.03271 -0.94822  0.000648  0.000253  0.000544     2.558
   1.57202  0.53177 -0.03179 -0.94805  0.000663  0.000259  0.000527     2.565
   1.58899  0.54871 -0.03085 -0.94763  0.000680  0.000264  0.000508     2.575
   1.60597  0.56567 -0.02988 -0.94733  0.000694  0.000269  0.000495     2.580
   1.62298  0.58264 -0.02889 -0.94683  0.000710  0.000274  0.000479     2.588
   1.64000  0.59963 -0.02788 -0.94637  0.000725  0.000279  0.000467     2.593
   1.65703  0.61664 -0.02685 -0.94584  0.000739  0.000285  0.000454     2.598
   1.67408  0.63366 -0.02581 -0.94532  0.000754  0.000290  0.000443     2.603
   1.69114  0.65068 -0.02475 -0.94460  0.000770  0.000295  0.000429     2.611
   1.70821  0.66772 -0.02369 -0.94408  0.000783  0.000300  0.000421     2.613
   1.72529  0.68477 -0.02261 -0.94343  0.000797  0.000305  0.000411     2.618
   1.74238  0.70182 -0.02152 -0.94272  0.000812  0.000310  0.000401     2.623
   1.75948  0.71888 -0.02043 -0.94205  0.000826  0.000314  0.000392     2.627
   1.77658  0.73594 -0.01932 -0.94121  0.000842  0.000319  0.000380     2.635
   1.79368  0.75301 -0.01821 -0.94046  0.000856  0.000324  0.000372     2.639
   1.81078  0.77008 -0.01709 -0.93950  0.000872  0.000329  0.000360     2.649
   1.82789  0.78715 -0.01597 -0.93855  0.000888  0.000334  0.000350     2.657
   1.84499  0.80422 -0.01484 -0.93754  0.000905  0.000339  0.000340     2.666
   1.86210  0.82128 -0.01370 -0.93626  0.000925  0.000345  0.000326     2.682
   1.87919  0.83834 -0.01256 -0.93482  0.000946  0.000350  0.000310     2.701
   1.89627  0.85538 -0.01141 -0.93325  0.000970  0.000356  0.000295     2.723
   1.91334  0.87240 -0.01026 -0.93125  0.001000  0.000363  0.000273     2.757
   1.93036  0.88939 -0.00910 -0.92907  0.001033  0.000369  0.000250     2.796
   1.94729  0.90628 -0.00793 -0.92612  0.001082  0.000377  0.000216     2.868
   1.96405  0.92300 -0.00677 -0.92280  0.001144  0.000386  0.000177     2.964
   1.98046  0.93937 -0.00562 -0.91893  0.001234  0.000396  0.000126     3.118
   1.99621  0.95508 -0.00451 -0.91495  0.001365  0.000406  0.000067     3.365
   2.01084  0.96967 -0.00347 -0.91178  0.001540  0.000414  0.000012     3.722
   2.02384  0.98263 -0.00253 -0.90978  0.001743  0.000419 -0.000025     4.158
   2.03492  0.99369 -0.00172 -0.90843  0.001938  0.000423 -0.000041     4.581
   2.04125  1.00000 -0.00126 -0.89799  0.001937  0.000455 -0.000027     4.252
   2.04125  1.00010 -0.00001  0.89799  0.012407  0.004821  0.000000     2.574
   2.04757  1.00641 -0.00040  0.88359  0.011595  0.005177  0.000000     2.240
   2.05499  1.01382 -0.00078  0.88822  0.010592  0.005065  0.000000     2.091
   2.06368  1.02250 -0.00117  0.89425  0.009643  0.004929  0.000000     1.956
   2.07387  1.03269 -0.00158  0.90144  0.008769  0.004778  0.000000     1.835
   2.08583  1.04463 -0.00199  0.90943  0.007983  0.004621  0.000000     1.728
   2.09984  1.05864 -0.00242  0.91778  0.007293  0.004468  0.000000     1.632
   2.11627  1.07507 -0.00283  0.92607  0.006695  0.004326  0.000000     1.548
   2.13554  1.09433 -0.00323  0.93403  0.006181  0.004198  0.000000     1.472
   2.15813  1.11692 -0.00360  0.94149  0.005741  0.004085  0.000000     1.405
   2.18462  1.14340 -0.00390  0.94837  0.005363  0.003986  0.000000     1.345
   2.21567  1.17446 -0.00410  0.95468  0.005038  0.003899  0.000000     1.292
   2.25209  1.21087 -0.00416  0.96042  0.004761  0.003823  0.000000     1.245
   2.29479  1.25357 -0.00402  0.96564  0.004523  0.003757  0.000000     1.204
   2.34485  1.30363 -0.00361  0.97034  0.004322  0.003699  0.000000     1.168
   2.40355  1.36232 -0.00284  0.97457  0.004152  0.003649  0.000000     1.138
   2.47237  1.43114 -0.00159  0.97834  0.004010  0.003605  0.000000     1.112
   2.55307  1.51182  0.00026  0.98169  0.003893  0.003567  0.000000     1.091
   2.64769  1.60640  0.00290  0.98464  0.003798  0.003534  0.000000     1.075
   2.75864  1.71729  0.00653  0.98720  0.003720  0.003506  0.000000     1.061
   2.88872  1.84728  0.01138  0.98942  0.003658  0.003482  0.000000     1.050
   3.04125  1.99967  0.01776  0.99144  0.003606  0.003461  0.000000     1.042
