#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.00000  1.00000  0.00126  0.88860  0.007773  0.004298  0.000727     1.808
   0.00632  0.99381  0.00254  0.89847  0.007271  0.004119  0.000810     1.765
   0.01731  0.98304  0.00473  0.91658  0.006481  0.003818  0.000964     1.698
   0.03011  0.97049  0.00724  0.93630  0.005775  0.003524  0.001132     1.639
   0.04441  0.95646  0.01001  0.95649  0.005174  0.003253  0.001306     1.591
   0.05976  0.94138  0.01291  0.97600  0.004681  0.003015  0.001475     1.552
   0.07573  0.92569  0.01588  0.99417  0.004283  0.002813  0.001632     1.523
   0.09203  0.90967  0.01884  1.01094  0.003957  0.002639  0.001777     1.500
   0.10849  0.89346  0.02176  1.02621  0.003690  0.002490  0.001909     1.482
   0.12504  0.87717  0.02463  1.04039  0.003462  0.002359  0.002032     1.467
   0.14163  0.86082  0.02745  1.05347  0.003267  0.002244  0.002145     1.456
   0.15824  0.84444  0.03020  1.06569  0.003096  0.002140  0.002250     1.446
   0.17486  0.82804  0.03289  1.07729  0.002943  0.002046  0.002351     1.439
   0.19149  0.81162  0.03552  1.08830  0.002805  0.001959  0.002446     1.432
   0.20812  0.79519  0.03809  1.09871  0.002680  0.001879  0.002536     1.426
   0.22474  0.77875  0.04059  1.10885  0.002564  0.001803  0.002625     1.422
   0.24137  0.76230  0.04302  1.11856  0.002456  0.001733  0.002710     1.418
   0.25800  0.74585  0.04539  1.12801  0.002356  0.001666  0.002793     1.414
   0.27462  0.72938  0.04769  1.13723  0.002261  0.001602  0.002874     1.411
   0.29124  0.71292  0.04993  1.14625  0.002171  0.001541  0.002955     1.409
   0.30785  0.69645  0.05210  1.15513  0.002085  0.001483  0.003035     1.406
   0.32446  0.67998  0.05420  1.16375  0.002004  0.001427  0.003112     1.405
   0.34105  0.66350  0.05624  1.17251  0.001925  0.001372  0.003193     1.403
   0.35764  0.64703  0.05820  1.18095  0.001850  0.001320  0.003270     1.402
   0.37422  0.63056  0.06009  1.18949  0.001777  0.001268  0.003350     1.401
   0.39079  0.61410  0.06191  1.19793  0.001706  0.001219  0.003430     1.400
   0.40734  0.59764  0.06366  1.20639  0.001638  0.001170  0.003511     1.399
   0.42388  0.58118  0.06533  1.21482  0.001571  0.001123  0.003592     1.399
   0.44040  0.56474  0.06692  1.22330  0.001506  0.001077  0.003675     1.399
   0.45690  0.54830  0.06843  1.23178  0.001443  0.001032  0.003759     1.399
   0.47339  0.53188  0.06985  1.24048  0.001381  0.000987  0.003848     1.398
   0.48985  0.51547  0.07120  1.24905  0.001321  0.000944  0.003935     1.399
   0.50630  0.49907  0.07245  1.25790  0.001261  0.000901  0.004027     1.399
   0.52271  0.48270  0.07362  1.26679  0.001202  0.000859  0.004122     1.400
   0.53910  0.46635  0.07469  1.27590  0.001145  0.000817  0.004221     1.401
   0.55545  0.45002  0.07567  1.28526  0.001088  0.000776  0.004325     1.401
