#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   0.57177  0.43373  0.07654  1.29481  0.001032  0.000736  0.004436     1.402
   0.58802  0.41749  0.07732  1.30494  0.000975  0.000695  0.004559     1.402
   0.60420  0.40134  0.07798  1.31604  0.000917  0.000654  0.004707     1.401
   0.62025  0.38529  0.07852  1.32766  0.000858  0.000613  0.004874     1.400
   0.63621  0.36934  0.07891  1.33771  0.000806  0.000576  0.005019     1.400
   0.65210  0.35345  0.07914  1.34751  0.000755  0.000539  0.005167     1.400
   0.66793  0.33762  0.07922  1.35698  0.000706  0.000504  0.005316     1.401
   0.68371  0.32184  0.07915  1.36623  0.000659  0.000470  0.005469     1.402
   0.69943  0.30612  0.07891  1.37531  0.000613  0.000437  0.005627     1.404
   0.71510  0.29046  0.07850  1.38431  0.000567  0.000404  0.005794     1.405
   0.73070  0.27487  0.07791  1.39314  0.000523  0.000372  0.005970     1.407
   0.74623  0.25935  0.07715  1.40192  0.000479  0.000340  0.006161     1.410
   0.76169  0.24392  0.07620  1.41065  0.000436  0.000309  0.006372     1.412
   0.77706  0.22859  0.07506  1.41929  0.000392  0.000277  0.006614     1.414
   0.79234  0.21338  0.07373  1.42780  0.000349  0.000247  0.006903     1.414
   0.80750  0.19829  0.07219  1.43606  0.000305  0.000216  0.007263     1.413
   0.82254  0.18335  0.07044  1.44402  0.000261  0.000185  0.007706     1.410
   0.83743  0.16859  0.06848  1.45149  0.000219  0.000154  0.008023     1.424
   0.85213  0.15405  0.06629  1.45885  0.000197  0.000126  0.006834     1.562
   0.86661  0.13978  0.06389  1.47283  0.000228  0.000106  0.002786     2.140
   0.88079  0.12584  0.06127  1.48848  0.000269  0.000096  0.000847     2.789
   0.89460  0.11233  0.05844  1.49673  0.000256  0.000091  0.000865     2.812
   0.90791  0.09937  0.05542  1.50713  0.000240  0.000086  0.000941     2.804
   0.92057  0.08711  0.05226  1.51792  0.000225  0.000080  0.001011     2.805
   0.93242  0.07571  0.04901  1.52981  0.000208  0.000074  0.001115     2.795
   0.94332  0.06532  0.04573  1.54200  0.000192  0.000069  0.001233     2.785
   0.95315  0.05602  0.04251  1.55439  0.000177  0.000064  0.001363     2.776
   0.96191  0.04785  0.03938  1.56700  0.000162  0.000059  0.001529     2.761
   0.96962  0.04073  0.03640  1.57927  0.000149  0.000054  0.001710     2.747
   0.97639  0.03458  0.03357  1.59136  0.000136  0.000050  0.001942     2.725
   0.98235  0.02925  0.03090  1.60257  0.000124  0.000046  0.002189     2.707
   0.98761  0.02465  0.02837  1.61326  0.000113  0.000042  0.002511     2.679
   0.99228  0.02064  0.02596  1.62246  0.000103  0.000039  0.002855     2.655
   0.99646  0.01715  0.02365  1.63057  0.000093  0.000035  0.003323     2.618
   1.00023  0.01410  0.02143  1.63570  0.000084  0.000032  0.003784     2.593
   1.00366  0.01144  0.01929  1.63873  0.000075  0.000030  0.004437     2.550
   1.00679  0.00910  0.01719  1.63657  0.000068  0.000027  0.005035     2.527
   1.00968  0.00708  0.01514  1.63035  0.000060  0.000024  0.005970     2.475
   1.01235  0.00532  0.01312  1.61429  0.000054  0.000022  0.006699     2.454
   1.01485  0.00383  0.01112  1.59026  0.000048  0.000020  0.007848     2.403
   1.01719  0.00259  0.00913  1.54998  0.000043  0.000018  0.008756     2.373
   1.01940  0.00160  0.00716  1.49361  0.000039  0.000017  0.009736     2.335
   1.02149  0.00085  0.00521  1.41539  0.000036  0.000015  0.010484     2.300
   1.02348  0.00034  0.00329  1.31655  0.000033  0.000014  0.010540     2.290
   1.02538  0.00006  0.00140  1.19782  0.000031  0.000014  0.010833     2.242
   1.02721  0.00001 -0.00042  1.06064  0.000030  0.000013  0.009559     2.261
   1.02906  0.00017 -0.00227  0.91230  0.000029  0.000013  0.008931     2.223
   1.03098  0.00057 -0.00415  0.74199  0.000029  0.000013  0.007106     2.234
   1.03298  0.00123 -0.00604  0.56554  0.000029  0.000013  0.005519     2.207
   1.03507  0.00216 -0.00791  0.38965  0.000031  0.000014  0.003504     2.233
   1.03727  0.00337 -0.00974  0.22304  0.000032  0.000015  0.001982     2.209
   1.03959  0.00484 -0.01154  0.07275  0.000037  0.000017  0.000548     2.230
   1.04205  0.00657 -0.01328 -0.05836  0.000037  0.000017  0.000439     2.230
   1.04469  0.00858 -0.01499 -0.17646  0.000042  0.000019  0.001146     2.251
   1.04752  0.01087 -0.01666 -0.27522  0.000047  0.000021  0.001625     2.248
   1.05059  0.01347 -0.01829 -0.36196  0.000051  0.000023  0.001926     2.263
   1.05394  0.01640 -0.01991 -0.43759  0.000056  0.000025  0.002104     2.272
   1.05762  0.01971 -0.02152 -0.50338  0.000062  0.000027  0.002170     2.287
   1.06169  0.02346 -0.02312 -0.56118  0.000068  0.000030  0.002185     2.296
   1.06625  0.02772 -0.02473 -0.61247  0.000074  0.000032  0.002147     2.308
   1.07138  0.03259 -0.02635 -0.65837  0.000082  0.000035  0.002085     2.318
   1.07721  0.03819 -0.02799 -0.69925  0.000090  0.000039  0.001987     2.332
   1.08388  0.04464 -0.02964 -0.73566  0.000099  0.000042  0.001878     2.344
   1.09152  0.05210 -0.03130 -0.76845  0.000109  0.000046  0.001768     2.355
   1.10027  0.06070 -0.03295 -0.79764  0.000119  0.000050  0.001647     2.368
   1.11023  0.07053 -0.03455 -0.82294  0.000132  0.000055  0.001520     2.383
   1.12140  0.08159 -0.03607 -0.84519  0.000144  0.000060  0.001413     2.391
   1.13370  0.09381 -0.03747 -0.86378  0.000158  0.000066  0.001297     2.407
   1.14696  0.10702 -0.03870 -0.87932  0.000172  0.000071  0.001199     2.418
   1.16100  0.12102 -0.03975 -0.89190  0.000187  0.000077  0.001105     2.432
   1.17563  0.13563 -0.04061 -0.90231  0.000201  0.000082  0.001029     2.441
   1.19072  0.15070 -0.04129 -0.91062  0.000216  0.000088  0.000955     2.453
   1.20615  0.16612 -0.04180 -0.91730  0.000230  0.000094  0.000891     2.463
   1.22184  0.18181 -0.04215 -0.92268  0.000245  0.000099  0.000835     2.473
   1.23775  0.19771 -0.04236 -0.92704  0.000259  0.000104  0.000785     2.482
   1.25383  0.21379 -0.04244 -0.93043  0.000274  0.000110  0.000739     2.492
   1.27005  0.23002 -0.04240 -0.93325  0.000287  0.000115  0.000700     2.499
   1.28640  0.24636 -0.04227 -0.93542  0.000301  0.000120  0.000663     2.508
   1.30286  0.26282 -0.04204 -0.93727  0.000314  0.000125  0.000633     2.513
   1.31941  0.27936 -0.04174 -0.93856  0.000328  0.000130  0.000601     2.522
   1.33604  0.29599 -0.04137 -0.93988  0.000340  0.000135  0.000579     2.524
   1.35275  0.31270 -0.04093 -0.94081  0.000353  0.000140  0.000555     2.530
   1.36952  0.32946 -0.04045 -0.94180  0.000365  0.000144  0.000538     2.531
   1.38635  0.34629 -0.03992 -0.94255  0.000376  0.000149  0.000519     2.534
   1.40323  0.36315 -0.03936 -0.94347  0.000387  0.000153  0.000507     2.532
   1.42013  0.38005 -0.03876 -0.94460  0.000396  0.000157  0.000499     2.526
   1.43704  0.39694 -0.03814 -0.94633  0.000402  0.000160  0.000501     2.511
   1.45389  0.41378 -0.03750 -0.94838  0.000407  0.000163  0.000503     2.496
   1.47071  0.43058 -0.03681 -0.94951  0.000418  0.000167  0.000488     2.502
   1.48754  0.44740 -0.03606 -0.95018  0.000430  0.000171  0.000469     2.514
   1.50439  0.46423 -0.03528 -0.95048  0.000442  0.000175  0.000449     2.527
   1.52126  0.48108 -0.03446 -0.95070  0.000454  0.000179  0.000433     2.537
   1.53816  0.49795 -0.03360 -0.95068  0.000466  0.000183  0.000417     2.548
   1.55508  0.51485 -0.03271 -0.95049  0.000478  0.000187  0.000401     2.559
   1.57202  0.53177 -0.03179 -0.95035  0.000489  0.000191  0.000390     2.565
   1.58899  0.54871 -0.03085 -0.94993  0.000501  0.000195  0.000376     2.575
   1.60597  0.56567 -0.02988 -0.94965  0.000512  0.000198  0.000366     2.579
   1.62298  0.58264 -0.02889 -0.94916  0.000523  0.000202  0.000355     2.587
   1.64000  0.59963 -0.02788 -0.94872  0.000534  0.000206  0.000345     2.592
   1.65703  0.61664 -0.02685 -0.94821  0.000545  0.000210  0.000336     2.597
   1.67408  0.63366 -0.02581 -0.94773  0.000555  0.000213  0.000329     2.601
   1.69114  0.65068 -0.02475 -0.94703  0.000567  0.000217  0.000319     2.609
   1.70821  0.66772 -0.02369 -0.94658  0.000576  0.000221  0.000313     2.610
   1.72529  0.68477 -0.02261 -0.94597  0.000586  0.000224  0.000306     2.614
   1.74238  0.70182 -0.02152 -0.94533  0.000597  0.000228  0.000299     2.619
   1.75948  0.71888 -0.02043 -0.94474  0.000607  0.000231  0.000293     2.622
   1.77658  0.73594 -0.01932 -0.94397  0.000618  0.000235  0.000285     2.629
   1.79368  0.75301 -0.01821 -0.94335  0.000627  0.000239  0.000280     2.631
   1.81078  0.77008 -0.01709 -0.94250  0.000639  0.000242  0.000272     2.639
   1.82789  0.78715 -0.01597 -0.94170  0.000650  0.000246  0.000265     2.645
   1.84499  0.80422 -0.01484 -0.94089  0.000661  0.000249  0.000259     2.650
   1.86210  0.82128 -0.01370 -0.93982  0.000674  0.000253  0.000250     2.663
   1.87919  0.83834 -0.01256 -0.93865  0.000688  0.000257  0.000241     2.676
   1.89627  0.85538 -0.01141 -0.93745  0.000701  0.000261  0.000232     2.689
   1.91334  0.87240 -0.01026 -0.93588  0.000719  0.000265  0.000219     2.713
   1.93036  0.88939 -0.00910 -0.93436  0.000735  0.000269  0.000209     2.733
   1.94729  0.90628 -0.00793 -0.93220  0.000760  0.000274  0.000191     2.775
   1.96405  0.92300 -0.00677 -0.93000  0.000785  0.000279  0.000175     2.816
   1.98046  0.93937 -0.00562 -0.92754  0.000815  0.000284  0.000156     2.869
   1.99621  0.95508 -0.00451 -0.92511  0.000845  0.000289  0.000139     2.924
   2.01084  0.96967 -0.00347 -0.92363  0.000852  0.000293  0.000210     2.912
   2.02384  0.98263 -0.00253 -0.90573  0.000718  0.000324  0.000740     2.219
   2.03492  0.99369 -0.00172 -0.88832  0.000659  0.000357  0.001324     1.844
   2.04125  1.00000 -0.00126 -0.88860  0.000607  0.000363  0.001767     1.673
   2.04125  1.00010 -0.00001  0.88860  0.010871  0.004661  0.000000     2.332
   2.04757  1.00641 -0.00040  0.86821  0.010045  0.005132  0.000000     1.957
   2.05499  1.01382 -0.00078  0.87749  0.009077  0.004924  0.000000     1.843
   2.06368  1.02250 -0.00117  0.88748  0.008230  0.004717  0.000000     1.745
   2.07387  1.03269 -0.00158  0.89772  0.007499  0.004520  0.000000     1.659
   2.08583  1.04463 -0.00199  0.90783  0.006873  0.004341  0.000000     1.583
   2.09984  1.05864 -0.00242  0.91747  0.006340  0.004181  0.000000     1.517
   2.11627  1.07507 -0.00283  0.92646  0.005886  0.004041  0.000000     1.456
   2.13554  1.09433 -0.00323  0.93472  0.005496  0.003920  0.000000     1.402
   2.15813  1.11692 -0.00360  0.94225  0.005158  0.003815  0.000000     1.352
   2.18462  1.14340 -0.00390  0.94910  0.004865  0.003724  0.000000     1.306
   2.21567  1.17446 -0.00410  0.95533  0.004609  0.003645  0.000000     1.264
   2.25209  1.21087 -0.00416  0.96097  0.004385  0.003576  0.000000     1.226
   2.29479  1.25357 -0.00402  0.96608  0.004190  0.003516  0.000000     1.192
   2.34485  1.30363 -0.00361  0.97070  0.004021  0.003463  0.000000     1.161
   2.40355  1.36232 -0.00284  0.97485  0.003876  0.003417  0.000000     1.134
   2.47237  1.43114 -0.00159  0.97856  0.003753  0.003377  0.000000     1.112
   2.55307  1.51182  0.00026  0.98186  0.003650  0.003341  0.000000     1.092
   2.64769  1.60640  0.00290  0.98476  0.003564  0.003311  0.000000     1.076
   2.75864  1.71729  0.00653  0.98730  0.003493  0.003285  0.000000     1.063
   2.88872  1.84728  0.01138  0.98949  0.003435  0.003263  0.000000     1.053
   3.04125  1.99967  0.01776  0.99149  0.003387  0.003243  0.000000     1.045
