#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.02348  0.00034  0.00329  1.32604  0.000027  0.000012  0.008484     2.291
   1.02538  0.00006  0.00140  1.20765  0.000025  0.000011  0.008744     2.242
   1.02721  0.00001 -0.00042  1.07039  0.000024  0.000011  0.007721     2.261
   1.02906  0.00017 -0.00227  0.92225  0.000023  0.000010  0.007218     2.224
   1.03098  0.00057 -0.00415  0.75165  0.000023  0.000010  0.005780     2.232
   1.03298  0.00123 -0.00604  0.57479  0.000024  0.000011  0.004480     2.208
   1.03507  0.00216 -0.00791  0.39885  0.000025  0.000011  0.002880     2.233
   1.03727  0.00337 -0.00974  0.23141  0.000026  0.000012  0.001647     2.208
   1.03959  0.00484 -0.01154  0.08072  0.000030  0.000013  0.000487     2.230
   1.04205  0.00657 -0.01328 -0.05091  0.000030  0.000013  0.000307     2.230
   1.04469  0.00858 -0.01499 -0.16950  0.000034  0.000015  0.000883     2.249
   1.04752  0.01087 -0.01666 -0.26874  0.000037  0.000017  0.001271     2.248
   1.05059  0.01347 -0.01829 -0.35585  0.000041  0.000018  0.001519     2.262
   1.05394  0.01640 -0.01991 -0.43201  0.000045  0.000020  0.001668     2.271
   1.05762  0.01971 -0.02152 -0.49809  0.000049  0.000022  0.001719     2.287
   1.06169  0.02346 -0.02312 -0.55628  0.000054  0.000024  0.001739     2.294
   1.06625  0.02772 -0.02473 -0.60778  0.000060  0.000026  0.001706     2.308
   1.07138  0.03259 -0.02635 -0.65411  0.000065  0.000028  0.001666     2.316
   1.07721  0.03819 -0.02799 -0.69520  0.000072  0.000031  0.001582     2.332
   1.08388  0.04464 -0.02964 -0.73187  0.000079  0.000034  0.001500     2.343
   1.09152  0.05210 -0.03130 -0.76494  0.000087  0.000037  0.001412     2.354
   1.10027  0.06070 -0.03295 -0.79433  0.000095  0.000040  0.001315     2.367
   1.11023  0.07053 -0.03455 -0.81983  0.000105  0.000044  0.001214     2.382
   1.12140  0.08159 -0.03607 -0.84228  0.000115  0.000048  0.001130     2.390
   1.13370  0.09381 -0.03747 -0.86104  0.000126  0.000052  0.001037     2.406
   1.14696  0.10702 -0.03870 -0.87674  0.000137  0.000057  0.000959     2.417
   1.16100  0.12102 -0.03975 -0.88943  0.000149  0.000061  0.000884     2.431
   1.17563  0.13563 -0.04061 -0.89997  0.000161  0.000066  0.000823     2.439
   1.19072  0.15070 -0.04129 -0.90837  0.000173  0.000070  0.000764     2.452
   1.20615  0.16612 -0.04180 -0.91513  0.000184  0.000075  0.000713     2.462
   1.22184  0.18181 -0.04215 -0.92059  0.000196  0.000079  0.000668     2.472
   1.23775  0.19771 -0.04236 -0.92502  0.000207  0.000083  0.000629     2.481
   1.25383  0.21379 -0.04244 -0.92846  0.000219  0.000088  0.000591     2.491
   1.27005  0.23002 -0.04240 -0.93133  0.000230  0.000092  0.000560     2.498
   1.28640  0.24636 -0.04227 -0.93354  0.000241  0.000096  0.000531     2.507
   1.30286  0.26282 -0.04204 -0.93544  0.000251  0.000100  0.000507     2.512
   1.31941  0.27936 -0.04174 -0.93674  0.000262  0.000104  0.000481     2.522
   1.33604  0.29599 -0.04137 -0.93812  0.000272  0.000108  0.000464     2.523
   1.35275  0.31270 -0.04093 -0.93904  0.000282  0.000112  0.000444     2.530
   1.36952  0.32946 -0.04045 -0.94007  0.000292  0.000115  0.000431     2.530
   1.38635  0.34629 -0.03992 -0.94083  0.000301  0.000119  0.000415     2.534
   1.40323  0.36315 -0.03936 -0.94176  0.000309  0.000122  0.000406     2.532
   1.42013  0.38005 -0.03876 -0.94292  0.000317  0.000125  0.000400     2.525
   1.43704  0.39694 -0.03814 -0.94468  0.000321  0.000128  0.000401     2.510
   1.45389  0.41378 -0.03750 -0.94678  0.000326  0.000131  0.000403     2.494
   1.47071  0.43058 -0.03681 -0.94791  0.000334  0.000134  0.000391     2.501
   1.48754  0.44740 -0.03606 -0.94857  0.000344  0.000137  0.000375     2.513
   1.50439  0.46423 -0.03528 -0.94886  0.000354  0.000140  0.000359     2.528
   1.52126  0.48108 -0.03446 -0.94909  0.000363  0.000143  0.000346     2.537
   1.53816  0.49795 -0.03360 -0.94907  0.000373  0.000146  0.000333     2.548
   1.55508  0.51485 -0.03271 -0.94886  0.000383  0.000150  0.000320     2.559
   1.57202  0.53177 -0.03179 -0.94873  0.000391  0.000153  0.000311     2.565
   1.58899  0.54871 -0.03085 -0.94829  0.000401  0.000156  0.000300     2.576
   1.60597  0.56567 -0.02988 -0.94801  0.000410  0.000159  0.000292     2.580
   1.62298  0.58264 -0.02889 -0.94751  0.000419  0.000162  0.000283     2.588
   1.64000  0.59963 -0.02788 -0.94706  0.000428  0.000165  0.000276     2.593
   1.65703  0.61664 -0.02685 -0.94655  0.000436  0.000168  0.000268     2.598
   1.67408  0.63366 -0.02581 -0.94607  0.000444  0.000171  0.000262     2.601
   1.69114  0.65068 -0.02475 -0.94534  0.000454  0.000174  0.000254     2.610
   1.70821  0.66772 -0.02369 -0.94488  0.000461  0.000177  0.000250     2.610
   1.72529  0.68477 -0.02261 -0.94427  0.000470  0.000180  0.000244     2.615
